,clienteID,Churn,genero,idoso,parceiro,dependentes,meses_contrato,serviço_telefônico,multiplas_linhas,serviço_internet,segurança_online,backup_online,proteção_dispositivos,suporte_tecnico,streaming_tv,streaming_filmes,contrato,faturamento_sem_papel,metodo_pagamento,custos_mensais,custos_totais
0,0002-ORFBO,Nao,Mulher,0,Sim,Sim,9,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Sim,Nao,Um ano,Sim,Cheque enviado,65.6,593.3
1,0003-MKNFE,Nao,Homem,0,Nao,Nao,9,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mes-a-mes,Nao,Cheque enviado,59.9,542.4
2,0004-TLHLJ,Sim,Homem,0,Nao,Nao,4,Sim,Nao,Fibra optica,Nao,Nao,Sim,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,73.9,280.85
3,0011-IGKFF,Sim,Homem,1,Sim,Nao,13,Sim,Nao,Fibra optica,Nao,Sim,Sim,Nao,Sim,Sim,Mes-a-mes,Sim,Cheque eletronico,98.0,1237.85
4,0013-EXCHZ,Sim,Mulher,1,Sim,Nao,3,Sim,Nao,Fibra optica,Nao,Nao,Nao,Sim,Sim,Nao,Mes-a-mes,Sim,Cheque enviado,83.9,267.4
5,0013-MHZWF,Nao,Mulher,0,Nao,Sim,9,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mes-a-mes,Sim,Cartao de credito(automatico),69.4,571.45
6,0013-SMEOE,Nao,Mulher,1,Sim,Nao,71,Sim,Nao,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Tranferencia bancaria(automatico),109.7,7904.25
7,0014-BMAQU,Nao,Homem,0,Sim,Nao,63,Sim,Sim,Fibra optica,Sim,Nao,Nao,Sim,Nao,Nao,Dois anos,Sim,Cartao de credito(automatico),84.65,5377.8
8,0015-UOCOJ,Nao,Mulher,1,Nao,Nao,7,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mes-a-mes,Sim,Cheque eletronico,48.2,340.35
9,0016-QLJIS,Nao,Mulher,0,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois anos,Sim,Cheque enviado,90.45,5957.9
10,0017-DINOC,Nao,Homem,0,Nao,Nao,54,Nao,Sem servico telefonico,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Dois anos,Nao,Cartao de credito(automatico),45.2,2460.55
